$OR;D2 
* From-Time  To-Time 
06.00 7.00 
* Factor 
1.00
9184003 9162012 6
9184003 9162010 35
9184018 9162115 28
9184018 9162079 31
9162107 52814612 22
9162004 9162115 17
9162004 586888382 111
9162016 9162158 37
9162021 9162012 19
9162009 784358748 46
9162077 9162004 29
9162081 554321029 28
9162056 783095006 7
9162010 819400248 12
9162022 783176672 53
9162035 783176708 16
9162103 9162004 15
9162081 9162004 12
9162032 774028738 10
9162026 783176708 17
9162022 9162009 5
9162158 586900421 31
9162062 9162012 7
9162030 9162034 35
9162009 9162113 21
9162068 783176708 150
9162042 784358748 9
9162021 9162038 9
9162160 9162119 7
9162009 819400248 22
9162113 9162119 2
9162042 586888382 5
9162042 586900421 13
9162113 9162009 19
9162009 783176708 0
9162016 9162103 69
9162021 52814612 29
9162107 9162012 23
9162021 783176708 25
9162021 9162119 9
9162016 9162113 14
586888382 9162107 25
9162119 9162113 18
586888382 9162071 7
554321029 9162079 25
783176708 9162030 25
774028738 9162081 24
783176672 9162087 14
783176672 9162001 34
586888382 9162007 16
783176672 9162007 10
783176672 9162160 22
554321029 9162032 41
554321029 9162004 59
554321029 586888382 19
554321029 9162071 16
783095006 774028738 42
783095006 9162026 34
783095006 819400248 11
783095006 9162040 13
783095006 586888382 23
783095006 9162009 5
783176708 9162035 48
784358748 9162021 38
586900421 9162049 27
586900421 9162038 27
586900421 819400248 12
9184003 586888382 39
9184003 9162016 98
9184003 52814612 18
52814612 9162042 23
9184018 9162024 18
9184018 9162122 14
9184018 783095006 43
9184018 9162160 20
9162099 586900421 25
9162016 9162042 31
9162022 9162158 13
9162110 586900421 8
9162079 9162004 22
9162030 9162115 32
9162079 783095006 21
9162004 9162009 68
9162077 783095006 20
9162010 9162040 46
9162077 9162119 24
9162062 9162009 10
9162043 9162004 14
9162004 9162103 15
9162158 9162021 15
9162079 9162030 9
9162059 9162004 21
9162012 9162107 28
9162062 783176708 47
9162040 9162113 15
9162022 9162012 6
9162004 9162113 16
9162160 9162009 0
783176672 586900421 24
586888382 9162059 14
9162025 774028738 11
9162093 9162004 14
9162079 774028738 21
9162042 9162012 25
9162159 9162024 8
9162158 586888382 9
9162040 819400248 17
9162119 9162034 11
9162042 9162004 139
9162030 9162038 5
586888382 9162038 19
586888382 9162019 29
554321029 9162024 4
783176708 52814612 46
52814612 774028738 36
774028738 9162019 24
52814612 9162079 20
783176672 9162062 2
586888382 9162058 3
783176672 9162055 19
819400248 9162010 44
819400248 9162071 3
819400248 9162047 4
783095006 9162081 15
554321029 9162064 161
554321029 9162110 10
783095006 9162102 120
783095006 9162037 35
783095006 9184005 17
783095006 9162160 36
783176708 9162026 36
783176708 9162043 36
783176708 9162010 11
783176708 9162028 33
784358748 586888382 72
586900421 9162159 45
586900421 9162064 53
586900421 783176708 96
774028738 9162077 23
9184005 9162037 36
9184005 9162079 18
52814612 586900421 26
819400248 9162064 86
9184018 9162059 12
9184018 9184005 17
9184018 9162038 19
9184018 9162066 16
9162103 9162113 9
9162107 9162159 6
9162022 586888382 9
9162158 9162028 7
9162056 9162115 1
9162012 783176708 0
9162059 783176708 84
