$OR;D2 
* From-Time  To-Time 
08.00 9.00 
* Factor 
1.00
783176708 9162004 502
783095006 9162119 453
554321029 9162119 271
586900421 9162010 395
784358748 9162010 348
783176672 9162009 215
819400248 9162004 311
783176672 9162012 316
774028738 9184018 318
783176708 9162115 150
783176708 9162119 175
586888382 9162009 169
784358748 9162012 268
783176672 9162010 289
9184018 774028738 113
783095006 9162004 101
783095006 9162115 151
586900421 9162012 180
783176708 9162103 180
783095006 9162034 95
819400248 9162009 146
9162119 783095006 136
784358748 9162009 116
586900421 9162009 107
783176672 9162042 95
554321029 9184018 92
783176708 9162009 96
774028738 9162119 74
783176672 9162103 61
783176708 9162113 194
586888382 9162004 34
819400248 9162103 159
783176672 9162040 120
554321029 9162030 190
586900421 9162016 198
783176672 9162004 195
9162010 586900421 73
9162010 783176672 81
9162001 9162004 132
9162030 554321029 53
783176708 9162066 143
586900421 586888382 72
9162012 783176672 122
586888382 9162012 166
819400248 9162012 100
783095006 9162030 128
783176708 9162001 118
586900421 783176672 97
586900421 9162107 141
9162009 586888382 69
9162030 9162119 113
9184005 774028738 126
783176708 783095006 53
784358748 9162107 88
586900421 9184003 209
9162010 784358748 137
783176708 9162102 96
9184018 9162119 104
9162016 586900421 106
9162001 586888382 61
554321029 9162115 67
774028738 9162026 114
774028738 9184024 158
9162115 9162004 22
819400248 9162001 97
52814612 9162019 145
783176672 9162113 40
819400248 9162113 103
554321029 9162026 57
9162030 783095006 61
9162119 554321029 41
9162119 9162004 95
9162001 783176708 57
774028738 9162024 91
774028738 783095006 54
774028738 52814612 34
783176672 9162066 74
554321029 9162034 71
783176708 9162012 56
783176708 9162040 46
783176708 9162068 5
9162081 9162119 110
9162010 9162012 89
9162119 9162115 115
774028738 9162158 72
783176708 9162064 96
586900421 9162042 121
9184005 9162119 145
9184018 9162026 51
9162040 586888382 41
9162113 783176708 144
9162113 9162004 77
586888382 9162010 71
586888382 9162103 58
52814612 9162024 152
783095006 783176708 97
9184024 774028738 62
9162001 819400248 35
9162016 9162010 137
9162009 783176672 90
9162016 784358748 78
9162012 586888382 117
586888382 9162040 66
9162040 9162004 96
9162012 9162009 105
554321029 783176708 49
52814612 9162004 34
783176708 9162077 202
586900421 9162024 46
9184003 586900421 88
9184005 9184018 135
9184024 9184018 100
9162021 9162009 1
9162022 784358748 18
9162022 52814612 39
9162012 784358748 89
783176708 9162034 19
52814612 9184018 74
52814612 9162022 233
783176672 9162107 102
783095006 9162032 47
9162009 9162012 34
9162004 783176708 154
9162035 9162004 26
9162032 9162119 63
9162016 9162012 71
9162158 52814612 45
9162001 9162009 45
9162103 783176708 55
52814612 9162158 118
52814612 9162160 19
52814612 9162009 24
783176708 9162042 73
783176708 9162007 185
783176708 9162038 80
784358748 9162042 94
784358748 9162016 111
9184018 9162028 43
9162022 9162010 23
9162102 783176708 227
9162016 52814612 27
9162009 9162004 95
9162040 783176672 21
9162158 9162004 39
9162081 783095006 0
9162115 9162119 67
9162103 819400248 18
9162024 774028738 32
586888382 9162042 42
783176708 9162037 45
783176672 9162021 70
52814612 9162016 210
783095006 9162071 13
783095006 9162066 46
554321029 774028738 38
783176708 9162160 29
586900421 9162021 129
9184005 554321029 83
9162030 9184018 60
9162016 783176672 55
9162001 783176672 4
9162081 774028738 39
9162026 9184018 59
9162024 52814612 34
9162062 9162004 103
9162021 586900421 39
9162103 9162009 28
9162030 774028738 25
783176708 9184018 94
774028738 9162037 21
52814612 9162028 16
783176672 9184003 21
586888382 9162113 78
783176672 9162064 64
554321029 9184005 96
783095006 9162077 154
783176708 9162062 186
783176708 9162158 37
586900421 9162019 59
9162119 783176708 48
