$OR;D2 
* From-Time  To-Time 
09.00 10.00 
* Factor 
1.00
783176708 9162004 276
783095006 9162119 351
554321029 9162119 201
586900421 9162010 397
784358748 9162010 366
783176672 9162009 182
819400248 9162004 98
783176672 9162012 249
774028738 9184018 271
783176708 9162115 149
783176708 9162119 101
586888382 9162009 139
784358748 9162012 211
783176672 9162010 220
9184018 774028738 67
783095006 9162004 134
783095006 9162115 126
586900421 9162012 155
783176708 9162103 162
783095006 9162034 63
819400248 9162009 88
9162119 783095006 129
784358748 9162009 108
586900421 9162009 116
783176672 9162042 95
554321029 9184018 100
783176708 9162009 81
774028738 9162119 55
783176672 9162103 67
783176708 9162113 148
586888382 9162004 78
819400248 9162103 120
783176672 9162040 93
554321029 9162030 215
586900421 9162016 215
783176672 9162004 24
9162010 586900421 95
9162010 783176672 113
9162001 9162004 109
9162030 554321029 54
783176708 9162066 62
586900421 586888382 52
9162012 783176672 78
586888382 9162012 129
819400248 9162012 79
783095006 9162030 115
783176708 9162001 84
586900421 783176672 91
586900421 9162107 139
9162009 586888382 67
9162030 9162119 84
9184005 774028738 44
783176708 783095006 56
784358748 9162107 104
586900421 9184003 229
9162010 784358748 113
783176708 9162102 118
9184018 9162119 53
9162016 586900421 47
9162001 586888382 74
554321029 9162115 38
774028738 9162026 126
774028738 9184024 156
9162115 9162004 46
819400248 9162001 121
52814612 9162019 92
783176672 9162113 50
819400248 9162113 98
554321029 9162026 83
9162030 783095006 46
9162119 554321029 47
9162119 9162004 39
9162001 783176708 59
774028738 9162024 88
774028738 783095006 26
774028738 52814612 15
783176672 9162066 19
554321029 9162034 44
783176708 9162012 30
783176708 9162040 48
783176708 9162068 72
9162081 9162119 47
9162010 9162012 115
9162119 9162115 95
774028738 9162158 64
783176708 9162064 60
586900421 9162042 104
9184005 9162119 71
9184018 9162026 72
9162040 586888382 21
9162113 783176708 33
9162113 9162004 11
586888382 9162010 67
586888382 9162103 77
52814612 9162024 146
783095006 783176708 98
9184024 774028738 60
9162001 819400248 32
9162016 9162010 90
9162009 783176672 49
9162016 784358748 48
9162012 586888382 66
586888382 9162040 94
9162040 9162004 19
9162012 9162009 70
554321029 783176708 36
52814612 9162004 3
783176708 9162077 59
586900421 9162024 63
9184003 586900421 68
9184005 9184018 91
9184024 9184018 95
9162021 9162009 41
9162022 784358748 29
9162022 52814612 24
9162012 784358748 84
783176708 9162034 7
52814612 9184018 40
52814612 9162022 123
783176672 9162107 63
783095006 9162032 72
9162009 9162012 50
9162004 783176708 52
9162035 9162004 40
9162032 9162119 34
9162016 9162012 52
9162158 52814612 23
9162001 9162009 49
9162103 783176708 78
52814612 9162158 153
52814612 9162160 53
52814612 9162009 38
783176708 9162042 3
783176708 9162007 81
783176708 9162038 31
784358748 9162042 68
784358748 9162016 136
9184018 9162028 43
9162022 9162010 26
9162102 783176708 18
9162016 52814612 22
9162009 9162004 57
9162040 783176672 6
9162158 9162004 27
9162081 783095006 16
9162115 9162119 46
9162103 819400248 17
9162024 774028738 20
586888382 9162042 49
783176708 9162037 12
783176672 9162021 66
52814612 9162016 166
783095006 9162071 42
783095006 9162066 30
554321029 774028738 57
783176708 9162160 58
586900421 9162021 136
9184005 554321029 51
9162030 9184018 45
9162016 783176672 74
9162001 783176672 47
9162081 774028738 33
9162026 9184018 62
9162024 52814612 43
9162062 9162004 1
9162021 586900421 26
9162103 9162009 53
9162030 774028738 28
783176708 9184018 44
774028738 9162037 27
52814612 9162028 23
783176672 9184003 53
586888382 9162113 124
783176672 9162064 51
554321029 9184005 89
783095006 9162077 66
783176708 9162062 151
783176708 9162158 57
586900421 9162019 68
9162119 783176708 44
9184018 9162030 58
819400248 9162119 28
9162056 586888382 18
9162113 586888382 1
9162026 774028738 18
9162102 9162004 0
9162107 586900421 27
9162010 9162042 77
9162016 9162004 59
9162119 9162030 93
9162022 586900421 48
9162081 9184018 70
9162062 586888382 23
9162010 9162009 69
819400248 9162040 76
586888382 586900421 35
