$OR;D2 
* From-Time  To-Time 
07.00 8.00 
* Factor 
1.00
9184003 9162012 66
9184003 9162010 83
9184018 9162115 77
9184018 9162079 36
9162107 52814612 8
9162004 9162115 70
9162004 586888382 127
9162016 9162158 52
9162021 9162012 60
9162009 784358748 70
9162077 9162004 9
9162081 554321029 40
9162056 783095006 7
9162010 819400248 16
9162022 783176672 41
9162035 783176708 55
9162103 9162004 73
9162081 9162004 126
9162032 774028738 14
9162026 783176708 10
9162022 9162009 27
9162158 586900421 60
9162062 9162012 14
9162030 9162034 43
9162009 9162113 32
9162068 783176708 46
9162042 784358748 26
9162021 9162038 5
9162160 9162119 0
9162009 819400248 25
9162113 9162119 114
9162042 586888382 23
9162042 586900421 3
9162113 9162009 15
9162009 783176708 38
9162016 9162103 34
9162021 52814612 36
9162107 9162012 18
9162021 783176708 75
9162021 9162119 2
9162016 9162113 16
586888382 9162107 59
9162119 9162113 8
586888382 9162071 3
554321029 9162079 120
783176708 9162030 29
774028738 9162081 89
783176672 9162087 18
783176672 9162001 12
586888382 9162007 23
783176672 9162007 12
783176672 9162160 31
554321029 9162032 62
554321029 9162004 69
554321029 586888382 10
554321029 9162071 35
783095006 774028738 106
783095006 9162026 69
783095006 819400248 6
783095006 9162040 14
783095006 586888382 39
783095006 9162009 1
783176708 9162035 110
784358748 9162021 121
586900421 9162049 72
586900421 9162038 1
586900421 819400248 59
9184003 586888382 38
9184003 9162016 47
9184003 52814612 24
52814612 9162042 8
9184018 9162024 33
9184018 9162122 38
9184018 783095006 40
9184018 9162160 25
9162099 586900421 10
9162016 9162042 19
9162022 9162158 87
9162110 586900421 47
9162079 9162004 51
9162030 9162115 58
9162079 783095006 48
9162004 9162009 22
9162077 783095006 30
9162010 9162040 38
9162077 9162119 31
9162062 9162009 11
9162043 9162004 40
9162004 9162103 81
9162158 9162021 10
9162079 9162030 34
9162059 9162004 81
9162012 9162107 72
9162062 783176708 61
9162040 9162113 30
9162022 9162012 8
9162004 9162113 78
9162160 9162009 2
783176672 586900421 67
586888382 9162059 25
9162025 774028738 13
9162093 9162004 39
9162079 774028738 27
9162042 9162012 35
9162159 9162024 16
9162158 586888382 2
9162040 819400248 16
9162119 9162034 60
9162042 9162004 26
9162030 9162038 19
586888382 9162038 9
586888382 9162019 43
554321029 9162024 7
783176708 52814612 36
52814612 774028738 77
774028738 9162019 34
52814612 9162079 17
783176672 9162062 28
586888382 9162058 15
783176672 9162055 51
819400248 9162010 54
819400248 9162071 102
819400248 9162047 9
783095006 9162081 47
554321029 9162064 159
554321029 9162110 13
783095006 9162102 9
783095006 9162037 83
783095006 9184005 85
783095006 9162160 7
783176708 9162026 19
783176708 9162043 64
783176708 9162010 37
783176708 9162028 108
784358748 586888382 99
586900421 9162159 76
586900421 9162064 122
586900421 783176708 78
774028738 9162077 40
9184005 9162037 145
9184005 9162079 27
52814612 586900421 28
819400248 9162064 134
9184018 9162059 13
9184018 9184005 37
9184018 9162038 10
9184018 9162066 44
9162103 9162113 22
9162107 9162159 19
9162022 586888382 30
9162158 9162028 38
9162056 9162115 0
9162012 783176708 25
9162059 783176708 35
9162022 9162019 97
9162062 9162115 16
9162107 784358748 46
9162093 774028738 19
9162110 9162012 10
9162058 9162004 49
9162103 9162115 16
9162079 9162034 16
9162026 9162115 41
9162113 783176672 31
9162115 783095006 33
9162021 9162047 15
9162032 9184018 40
9162059 9162102 1
9162110 586888382 4
9162115 9162102 16
9162026 9162004 60
9162062 819400248 95
9162021 9162103 18
9162113 819400248 51
9162030 9162122 45
9162032 9162004 32
9162021 774028738 2
9162012 9162042 60
9162102 819400248 29
9162047 9162004 21
9162099 9162119 9
9162001 9162040 20
9162059 9162103 21
9162115 9162103 65
9162004 819400248 65
9162037 783095006 13
9162126 783095006 4
9162077 9162102 20
9162160 9162103 21
9162001 9162038 1
9162026 9162071 4
9162021 783176672 72
9162009 9162042 1
9162059 52814612 0
9162115 9162113 32
9162030 9162037 50
9162065 9162004 3
9162081 9162026 46
9162158 9162103 12
9162024 9162019 10
819400248 783095006 11
9162119 9162077 35
9162122 9162119 49
586888382 9162064 47
586888382 784358748 11
9162119 9162068 79
774028738 9162115 62
52814612 9162107 92
774028738 9162010 7
774028738 9162099 23
52814612 9162059 64
783176672 9162047 44
783176672 9162056 67
783176672 9184018 66
819400248 9162066 261
783095006 9162158 18
783095006 9162064 131
554321029 9184024 28
554321029 9162038 10
554321029 9162103 25
554321029 784358748 4
783176708 9162058 124
783176708 9162159 16
784358748 9162103 6
784358748 9162113 44
784358748 9162064 94
784358748 9162038 1
784358748 9184018 34
784358748 9162047 17
586900421 9162004 9
586900421 9162113 40
586900421 9162115 154
586900421 9184018 63
586900421 784358748 39
783176672 9162016 80
774028738 9162160 28
774028738 9162028 52
774028738 586900421 24
9184005 9162030 49
52814612 784358748 30
9184018 554321029 34
9184018 9184024 58
9184018 9162004 90
52814612 9162064 157
9184024 9162119 6
9184018 9162090 0
9162107 9162009 11
9162016 9162071 11
9162042 9162066 33
9162113 9162012 0
9162058 9162071 16
9162158 784358748 36
9162079 52814612 14
9162110 9162038 6
9162122 9162004 40
9162159 52814612 60
9162021 784358748 47
9162160 819400248 3
9162004 9162066 71
9162004 783095006 77
9162056 9162004 0
9162025 52814612 27
9162062 9162113 21
9162110 9162119 3
9162059 9162021 4
9162158 9162043 0
9162012 9162004 32
9162071 9162004 49
9162010 9162019 65
9162016 9162040 23
9162025 9162119 25
9162071 9162103 24
9162042 9162010 35
9162099 9162012 36
9162035 9162103 8
9162004 9162001 5
9162071 9162007 6
9162007 586888382 29
9162158 9162024 49
9162068 9162160 6
9162019 9162049 2
9162030 9162113 137
9162016 9184018 47
9162032 783095006 33
9162016 9162119 45
9162062 9162040 13
9162079 783176708 4
9162160 586888382 5
9162158 9162040 30
9162016 9162021 87
9162055 783176708 124
9162001 9162115 44
9162030 9162032 13
9162024 9162160 14
9162016 586888382 24
9162068 9162119 29
9162056 9162010 2
9162113 9162010 14
9162021 9162037 14
9162012 9162115 118
9162110 9162158 14
9162158 9162038 21
9162090 9162004 17
9162158 783176672 21
9162059 9162119 18
9162081 9162115 103
9162012 9162040 20
819400248 9162021 59
9162107 9162038 7
9162099 586888382 5
9162158 783176708 19
9162022 9162042 33
9162021 9162087 8
9162160 9162004 60
9162085 9162119 13
9162055 784358748 4
9162059 9162113 26
9162021 9184003 17
9162010 9162158 35
819400248 9162068 69
9162079 9162038 8
9162021 9162107 28
9162122 783176708 26
9162071 9162119 36
9162012 586900421 103
9162159 9162064 21
9162016 9162110 27
9162026 586888382 3
9162085 9162004 43
9162059 9162012 20
9162010 9162056 33
9162119 9162059 139
9162062 9162119 53
9162055 9162004 34
819400248 9162158 12
9162103 9162040 8
819400248 9162038 9
554321029 9162102 94
783176672 9162026 115
52814612 783176708 19
774028738 586888382 62
774028738 9162025 47
52814612 9162077 18
52814612 9162103 29
783176672 9162102 47
783176672 9162119 79
783176672 9162110 15
586888382 9162055 33
819400248 9162062 37
819400248 9162065 4
819400248 9162042 49
819400248 9162115 178
554321029 9162081 72
554321029 9162087 17
783095006 9162059 19
783095006 9162122 48
783176708 783176672 95
783176708 586888382 6
783176708 9162019 103
783176708 586900421 77
783176708 9162021 70
784358748 9162079 16
784358748 9162024 37
784358748 9162071 18
774028738 783176672 109
774028738 9162110 34
774028738 9162085 30
774028738 9162059 32
52814612 9162047 52
9184003 783176672 5
9184003 9162042 16
9184003 9162009 36
9162024 9162158 57
52814612 9162037 37
774028738 9162001 10
9184018 9162034 37
9184018 9162113 14
52814612 9162040 32
9184024 9162026 33
819400248 9162024 17
9162001 9162064 39
9162087 9162115 7
9162019 9162024 4
9162113 783095006 70
9162001 9162016 2
9162007 783176708 24
9162028 9162037 9
9162016 9162022 69
9162032 9162071 2
9162160 52814612 7
9162081 9162032 13
9162103 9162102 2
9162079 9162064 8
9162103 9162119 21
9162103 783176672 10
9162077 783176708 51
9162056 586900421 15
9162038 586888382 4
9162024 9162110 23
9162040 784358748 14
9162110 9162103 10
9162043 9184018 8
9162009 9162016 72
9162016 9162019 11
9162056 9162103 20
9162025 9162103 10
9162010 9162113 37
9162007 819400248 7
9162055 586888382 1
